level,num_start_user,winrate,drop,arpu,adrw,booster,exit_rate,adrw_per_user,booster_per_user
42,1218,0.87,0.0106732348111659,0.03711053994478040,178,116,0.0262725779967159,0.146141215106732,0.09523809524
43,1205,0.56,0.0190871369294606,0.06305077599982350,700,576,0.0265560165975104,0.580912863070540,0.4780082988
44,1182,0.38,0.0287648054145516,0.07308170379407310,860,715,0.0143824027072758,0.727580372250423,0.6049069374
45,1148,0.23,0.0670731707317073,0.13235630285244700,1674,1888,0.0348432055749129,1.458188153310100,1.644599303
46,1071,0.66,0.0084033613445378,0.04870346839456980,454,225,0.0205415499533147,0.423902894491130,0.2100840336
47,1062,0.74,0.0207156308851224,0.05473655904847960,551,279,0.0273069679849341,0.518832391713748,0.2627118644
48,1040,0.71,0.0076923076923077,0.03765397214892330,299,213,0.0326923076923077,0.287500000000000,0.2048076923
49,1032,0.32,0.0406976744186046,0.09115893650231920,946,1260,0.0232558139534884,0.916666666666667,1.220930233
50,990,0.68,0.0060606060606061,0.04869521520547130,279,253,0.0272727272727273,0.281818181818182,0.2555555556
51,984,0.40,0.0426829268292683,0.08396405139855020,1022,685,0.0304878048780488,1.038617886178860,0.6961382114
52,942,0.69,0.0106157112526539,0.04676499231495930,310,207,0.0201698513800425,0.329087048832272,0.2197452229
53,932,0.30,0.0407725321888413,0.10887579738957700,1023,1325,0.0375536480686695,1.097639484978540,1.42167382
54,894,0.62,0.0156599552572707,0.04552946823258750,384,260,0.0234899328859060,0.429530201342282,0.2908277405
55,880,0.66,0.0204545454545455,0.03857118468281330,337,282,0.0318181818181818,0.382954545454545,0.3204545455
56,862,0.65,0.0011600928074246,0.04955308034100950,376,209,0.0301624129930394,0.436194895591647,0.2424593968
57,870,0.11,0.1137931034482760,0.19631309440088900,2330,3186,0.0149425287356322,2.678160919540230,3.662068966
58,771,0.63,0.0207522697795072,0.04221979368196770,344,158,0.0259403372243839,0.446173800259403,0.2049286641
59,755,0.70,0.0105960264900662,0.05701723298381140,305,230,0.0211920529801325,0.403973509933775,0.3046357616
60,747,0.32,0.0214190093708166,0.07947390181932360,743,955,0.0174029451137885,0.994645247657296,1.278447122
61,731,0.46,0.0218878248974008,0.04527087718040430,393,281,0.0082079343365253,0.537619699042408,0.3844049248
62,715,0.76,0.0013986013986014,0.03715293377594730,253,126,0.0223776223776224,0.353846153846154,0.1762237762
63,717,0.39,0.0153417015341701,0.20260216512206400,620,785,0.0167364016736402,0.864714086471409,1.094839609
64,706,0.82,0.0198300283286119,0.05111905508700770,221,89,0.0283286118980170,0.313031161473088,0.1260623229
65,692,0.57,0.0158959537572254,0.04700064859707860,380,251,0.0173410404624277,0.549132947976879,0.362716763
66,681,0.86,0.0014684287812041,0.03897849614837270,232,114,0.0367107195301028,0.340675477239354,0.1674008811
67,692,0.08,0.1459537572254340,0.27147923125178500,2258,3334,0.0260115606936416,3.263005780346820,4.817919075
68,591,0.69,0.0135363790186125,0.03843147795867950,217,134,0.0152284263959391,0.367174280879865,0.2267343486
69,583,0.67,0.0102915951972555,0.04072120427327560,217,187,0.0154373927958834,0.372212692967410,0.320754717
70,577,0.35,0.0242634315424610,0.12055186580300500,620,839,0.0259965337954939,1.074523396880420,1.45407279
71,563,0.81,0.0142095914742452,0.05480096222167690,234,70,0.0301953818827709,0.415630550621670,0.1243339254
72,555,0.63,0.0072072072072073,0.04347192597855500,171,176,0.0162162162162162,0.308108108108108,0.3171171171
73,551,0.60,0.0036297640653358,0.04591167653093590,269,193,0.0199637023593466,0.488203266787659,0.3502722323
74,549,0.24,0.0091074681238615,0.10085828625420500,696,797,0.0182149362477231,1.267759562841530,1.451730419
75,544,0.12,0.1084558823529410,0.18992537711710700,1363,2071,0.0367647058823529,2.505514705882350,3.806985294
76,485,0.60,0.0061855670103093,0.06089076876939030,213,149,0.0226804123711340,0.439175257731959,0.3072164948
77,482,0.63,0.0020746887966805,0.04346848828737630,218,197,0.0269709543568465,0.452282157676349,0.4087136929
78,485,0.21,0.0226804123711341,0.09265955216976410,448,814,0.0041237113402062,0.923711340206186,1.678350515
79,474,0.40,0.0379746835443038,0.07073588186838900,408,610,0.0295358649789030,0.860759493670886,1.286919831
80,456,0.65,0.0065789473684210,0.04259030141179430,221,130,0.0131578947368421,0.484649122807018,0.2850877193
81,453,0.73,0.0132450331125827,0.04027476613493270,178,89,0.0375275938189845,0.392935982339956,0.1964679912
82,447,0.45,0.0022371364653244,0.10098441789356700,424,506,0.0134228187919463,0.948545861297539,1.131991051
83,450,0.07,0.1244444444444440,0.29164847592015300,1813,2478,0.0022222222222222,4.028888888888890,5.506666667
84,394,0.93,0.0025380710659898,0.04350817880260480,85,35,0.0000000000000000,0.215736040609137,0.08883248731
85,393,0.69,0.0025445292620865,0.05315902809618960,122,135,0.0178117048346056,0.310432569974555,0.3435114504
86,392,0.20,0.0510204081632653,0.10444993098318200,634,681,0.0127551020408163,1.617346938775510,1.737244898
87,372,0.36,0.0053763440860215,0.12330741569164400,443,547,0.0134408602150538,1.190860215053760,1.470430108
88,370,0.04,0.1486486486486490,0.36488190220184900,1785,1832,0.0000000000000000,4.824324324324320,4.951351351
89,315,0.53,0.0253968253968254,0.07271332049569620,178,263,0.0285714285714286,0.565079365079365,0.8349206349
90,307,0.64,0.0032573289902280,0.05853033108325410,237,116,0.0065146579804560,0.771986970684039,0.3778501629
91,311,0.33,0.0225080385852090,0.07965171070287460,319,302,0.0064308681672026,1.025723472668810,0.9710610932
92,304,0.37,0.0328947368421053,0.13157071559167600,459,460,0.0164473684210526,1.509868421052630,1.513157895
93,294,0.80,0.0034013605442177,0.03164251018323860,84,38,0.0068027210884354,0.285714285714286,0.1292517007
94,300,0.93,0.0033333333333333,0.03583370031035000,75,32,0.0100000000000000,0.250000000000000,0.1066666667
95,299,0.39,0.0167224080267558,0.07588923880415950,299,375,0.0100334448160535,1.000000000000000,1.254180602
96,294,0.06,0.1088435374149660,0.30538236191124800,1343,1322,0.0374149659863946,4.568027210884350,4.496598639
97,262,0.90,0.0038167938931297,0.03548417105820240,68,19,0.0152671755725191,0.259541984732824,0.07251908397
98,264,0.66,0.0075757575757576,0.04293485580497240,123,147,0.0113636363636364,0.465909090909091,0.5568181818
99,262,0.26,0.0267175572519084,0.08919764738068440,433,476,0.0076335877862595,1.652671755725190,1.816793893
100,255,0.08,0.1137254901960780,0.28397421697075800,1204,1414,0.0078431372549020,4.721568627450980,5.545098039
